YEAR, MONTH, DAY, SLAT, SLON, MAG, MAGTYPE
2006, 04, 20, +61.040, +167.097, 7.6, MW
2012, 08, 31, +10.811, +126.826, 7.6, MW
1999, 08, 17, +40.756, +29.955, 7.6, Mw
2009, 03, 19, 23.155, 174.590, 7.6, MW
2009, 10, 07, 13.036, +166.502, 7.6, MW
2014, 11, 09, +46.930, +140.630, 7.6, mb
2014, 04, 12, 11.258, +162.139, 7.6, MW
2006, 01, 27, 5.448, +128.194, 7.6, MW
1995, 08, 16, 5.821, +154.167, 7.6, mw
1993, 08, 08, +12.931, +144.816, 7.5, mw
2005, 09, 26, 5.736, 76.475, 7.5, MW
2018, 12, 05, 21.957, +169.418, 7.5, Mww
1983, 12, 30, +36.425, +70.749, 7.5, mw
2015, 05, 05, 5.517, +151.864, 7.5, MW
1999, 09, 30, +16.068, 96.931, 7.5, Mw
2020, 03, 25, +48.969, +157.691, 7.5, Mww
2013, 01, 05, +55.235, 134.801, 7.5, MW
2015, 03, 29, 4.776, +152.578, 7.5, MW
2002, 10, 10, 1.751, +134.258, 7.5, MW
1991, 12, 22, +45.478, +151.023, 7.5, mw
2002, 03, 05, +6.032, +124.273, 7.5, MW
1998, 05, 03, +22.302, +125.318, 7.5, mw
2019, 02, 22, 2.199, 77.023, 7.5, mww
2009, 08, 10, +14.052, +92.868, 7.5, MW
2010, 06, 12, +7.851, +91.955, 7.5, MW
2014, 04, 19, 6.708, +154.992, 7.5, MW
1994, 03, 09, 17.947, 178.428, 7.5, mw
1996, 11, 12, 15.055, 75.658, 7.5, mw
1999, 11, 26, 16.324, +168.135, 7.5, Mw
2019, 05, 14, 4.081, +152.569, 7.5, Mww
2007, 01, 21, +1.082, +126.362, 7.5, MW
1993, 01, 15, +42.953, +144.200, 7.5, mw
1985, 03, 03, 33.078, 71.722, 7.5, mw
1986, 10, 20, 28.133, 176.397, 7.5, mw
1990, 12, 30, 5.103, +150.980, 7.5, mw
2007, 09, 28, +22.010, +142.705, 7.5, Mw
2004, 11, 11, 8.149, +124.744, 7.5, MW
2001, 01, 01, +6.876, +126.659, 7.5, MW
2003, 07, 15, 2.640, +68.356, 7.5, MW
2012, 03, 20, +16.473, 98.369, 7.5, MW
2003, 01, 22, +18.896, 104.082, 7.5, MW
2015, 10, 26, +36.524, +70.368, 7.5, mww
2018, 01, 10, +17.474, 83.519, 7.5, mww
2001, 10, 19, 4.089, +123.977, 7.5, MW
2010, 07, 23, +6.740, +123.327, 7.5, MW
2007, 08, 08, 6.089, +107.584, 7.5, MW
2018, 02, 25, 6.053, +142.770, 7.5, mww
2018, 09, 28, 0.178, +119.840, 7.5, Mww
1995, 09, 14, +16.882, 98.595, 7.4, mw
2010, 02, 27, 37.840, 75.210, 7.4, MW
2006, 01, 02, 61.011, 21.649, 7.4, MW
1984, 03, 06, +29.351, +138.923, 7.4, mw
2006, 05, 16, 31.844, 179.155, 7.4, MW
2013, 05, 23, 23.078, 177.213, 7.4, MW
1990, 04, 18, +1.219, +122.916, 7.4, mw
2020, 06, 18, 33.294, 177.838, 7.4, Mww
1997, 11, 08, +35.116, +87.374, 7.4, mw
2004, 09, 05, +33.206, +137.073, 7.4, MW
1999, 04, 05, 5.632, +149.625, 7.4, Mw
2020, 06, 23, +15.883, 96.010, 7.4, mww
1991, 06, 20, +1.192, +122.822, 7.4, mw
1996, 02, 21, 9.691, 79.767, 7.4, mw
2009, 01, 03, 0.527, +132.602, 7.4, MW
2006, 02, 15, +11.571, +122.727, 7.4, MS
2007, 11, 29, +14.995, 61.224, 7.4, MW
2011, 10, 21, 28.881, 176.033, 7.4, MW
2000, 08, 06, +28.795, +139.598, 7.4, Mw
