surface,,first,,second,,third,,fourth,,fifth,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
89.22674486302233,140,17.681729913172575,203.52941176470586,55.28079211966486,238.82352941176464,64.84570079997881,316.47058823529414,54.03476503583507,383.52941176470597,54.03476503583507,634.1176470588236
64.84570079997881,140,16.893621992017888,217.64705882352928,48.21346193585806,256.47058823529414,55.28079211966486,327.0588235294117,48.21346193585806,401.17647058823525,48.21346193585806,648.2352941176471
42.049649122403636,143.52941176470586,16.51284035451042,231.76470588235293,44.01131616874802,267.0588235294117,49.32525134287112,351.7647058823529,44.01131616874802,408.2352941176471,44.01131616874802,658.8235294117648
20.273591573791954,150.58823529411757,15.42122280526466,245.88235294117646,39.26986478874697,281.17647058823536,46.06449735804088,362.3529411764706,40.17541726172723,436.47058823529414,40.17541726172723,672.9411764705883
18.506604023110242,164.70588235294122,15.42122280526466,260,37.519533138243204,288.2352941176471,44.01131616874802,362.3529411764706,37.519533138243204,457.6470588235295,36.67384419873407,683.5294117647059
16.51284035451042,161.17647058823536,10.230597298425085,305.88235294117646,33.477458107057316,305.88235294117646,40.17541726172723,383.52941176470597,33.477458107057316,475.2941176470588,33.477458107057316,715.2941176470589
15.42122280526466,154.11764705882365,7.781962056190485,344.7058823529411,30.55965977377594,323.52941176470597,37.519533138243204,397.6470588235295,30.55965977377594,496.47058823529414,30.55965977377594,743.5294117647059
12.000737073062886,168.23529411764707,6.787083125912109,372.9411764705882,24.329804200374042,358.82352941176464,33.477458107057316,418.82352941176464,24.329804200374042,528.2352941176471,24.329804200374042,796.4705882352941
10.230597298425085,196.47058823529414,5.52807921196648,411.7647058823529,19.816625542394167,372.9411764705882,31.26435727223819,443.52941176470597,19.816625542394167,556.4705882352941,19.816625542394167,842.3529411764706
9.128428949429006,192.9411764705883,5.04626783132515,425.88235294117646,18.933361312185447,380,24.890842912355797,485.8823529411766,18.506604023110242,563.5294117647059,18.506604023110242,860
7.781962056190485,196.47058823529414,4.606449735804084,440,17.28318435121528,383.52941176470597,24.329804200374042,492.9411764705882,15.073628992941245,605.8823529411765,17.681729913172575,870.5882352941177
7.10370877170873,196.47058823529414,3.926986478874693,457.6470588235295,16.14064152153894,390.5882352941177,20.273591573791954,514.1176470588235,16.51284035451042,588.2352941176471,16.14064152153894,891.7647058823529
6.63410251418744,210.58823529411757,2.3245379118404386,542.3529411764706,15.073628992941245,397.6470588235295,18.089465828118556,524.7058823529412,17.681729913172575,574.1176470588235,15.073628992941245,912.9411764705883
6.195540608875721,238.82352941176464,1.8506604023110242,570.5882352941177,11.730240887216144,436.47058823529414,17.28318435121528,535.2941176470588,11.730240887216144,658.8235294117648,11.46584167575623,976.4705882352941
5.919393724285377,235.2941176470589,1.2560585988318855,616.4705882352941,10.230597298425085,454.11764705882354,16.51284035451042,545.8823529411766,10,690.5882352941177,10,1011.7647058823529
4.606449735804084,207.0588235294117,1.0954787571223317,637.6470588235294,8.922674486302242,475.2941176470588,15.073628992941245,560.0000000000001,8.922674486302242,718.8235294117648,8.922674486302242,1036.4705882352941
3.424943924681999,207.0588235294117,0.8145000008709298,669.4117647058824,7.606556908840938,489.4117647058823,11.730240887216144,609.4117647058823,7.606556908840938,754.1176470588235,7.606556908840938,1068.235294117647
2.7267389657354695,217.64705882352928,0.710370877170873,694.1176470588235,7.10370877170873,507.0588235294117,10,637.6470588235294,6.9435914292142975,771.7647058823529,7.10370877170873,1078.8235294117646
2.4890842912355797,217.64705882352928,0.6195540608875727,715.2941176470589,6.484570079997875,510.5882352941177,8.922674486302242,658.8235294117648,6.484570079997875,785.8823529411765,5.919393724285377,1096.4705882352941
2.378141128096148,224.7058823529411,0.5919393724285382,718.8235294117648,6.0558933443988385,524.7058823529412,7.606556908840938,690.5882352941177,6.0558933443988385,803.5294117647059,4.502620522961262,1114.1176470588236
2.220928889966338,228.23529411764707,0.5655555225142421,722.3529411764706,4.401131616874811,570.5882352941177,7.10370877170873,704.7058823529412,4.401131616874811,877.6470588235295,3.424943924681999,1124.7058823529412
1.9816625542394186,231.76470588235293,0.5281682335805868,732.9411764705883,3.926986478874693,591.7647058823529,6.63410251418744,718.8235294117648,3.926986478874693,905.8823529411765,2.7267389657354695,1128.235294117647
1.8089465828118538,242.3529411764706,0.4932525134287112,740,3.424943924681999,616.4705882352941,6.0558933443988385,732.9411764705883,3.347745810705738,948.2352941176471,1.4401769029678593,1131.764705882353
1.7681729913172577,256.47058823529414,0.4821346193585811,743.5294117647059,2.665278366645544,655.2941176470588,4.401131616874811,800,2.605203087268268,997.6470588235295,0.5785970800743587,1131.764705882353
1.6512840354510403,252.94117647058818,0.44011316168748066,750.5882352941177,2.432980420037404,665.8823529411765,3.926986478874693,828.2352941176471,2.378141128096148,1018.8235294117648,0.4301930267113855,1131.764705882353
1.507362899294123,256.47058823529414,0.420496491224036,757.6470588235294,2.3245379118404386,672.9411764705883,3.424943924681999,849.4117647058824,2.3245379118404386,1022.3529411764706,0.3055965977377594,1135.2941176470588
1.3759855127211713,270.58823529411757,0.41101851530092803,761.1764705882354,2.1708692319540637,683.5294117647059,2.665278366645544,905.8823529411765,2.1708692319540637,1036.4705882352941,0.20273591573791952,1142.3529411764707
1.3759855127211713,270.58823529411757,0.383847234362281,768.2352941176471,1.8933361312185448,708.2352941176471,2.432980420037404,923.5294117647059,1.8933361312185448,1057.6470588235295,0.9774600356461519,1135.2941176470588
1.3759855127211713,284.7058823529411,0.37519533138243205,775.2941176470588,1.8089465828118538,722.3529411764706,2.2721429101683848,937.6470588235295,1.8089465828118538,1068.235294117647,,
1.2000737073062886,277.6470588235294,0.35847217057776065,785.8823529411765,1.728318435121528,725.8823529411765,2.220928889966338,944.7058823529412,1.728318435121528,1071.764705882353,,
1.1465841675756219,281.17647058823536,0.34249439246820024,792.9411764705883,1.6140641521538954,740,1.8933361312185448,976.4705882352941,1.5776832036995194,1078.8235294117646,,
1.1465841675756219,291.7647058823529,0.3198530490463567,796.4705882352941,1.5776832036995194,747.0588235294118,1.8089465828118538,987.0588235294118,1.507362899294123,1082.3529411764707,,
1.0707867049863966,281.17647058823536,0.29870846131809276,807.0588235294118,1.4733869932757204,757.6470588235294,1.6893621992017887,997.6470588235295,1.3759855127211713,1085.8823529411766,,
0.9338928054889384,284.7058823529411,0.2789616829636374,810.5882352941177,1.3759855127211713,764.7058823529412,1.6140641521538954,1004.7058823529412,1.0954787571223317,1100,,
0.9774600356461519,295.2941176470589,0.24890842912355782,824.7058823529412,1.3759855127211713,768.2352941176471,1.507362899294123,1011.7647058823529,1.0466512108254267,1107.0588235294117,,
0.8922674486302242,295.2941176470589,0.2726738965735471,821.1764705882354,1.120740201309781,810.5882352941177,1.4401769029678593,1022.3529411764706,0.9338928054889384,1107.0588235294117,,
0.796141199885089,305.88235294117646,0.2378141128096147,831.7647058823529,1.0466512108254267,814.1176470588236,1.3759855127211713,1029.4117647058824,0.8145000008709298,1114.1176470588236,,
0.8524974121288698,302.3529411764706,0.22209288899663382,838.8235294117646,1.000000000000001,835.2941176470588,1.3146552533350817,1040,0.7781962056190486,1114.1176470588236,,
0.7606556908840946,295.2941176470589,0.20741095118420963,845.8823529411765,0.8922674486302242,842.3529411764706,1.0954787571223317,1064.7058823529412,0.710370877170873,1121.1764705882354,,
0.710370877170873,305.88235294117646,0.19369959509055049,852.9411764705883,1.0466512108254267,831.7647058823529,1.0230597298425097,1071.764705882353,0.6338408101544686,1124.7058823529412,,
0.663410251418744,305.88235294117646,0.17681729913172578,863.5294117647059,0.9554281212853757,828.2352941176471,1.000000000000001,1075.2941176470588,0.5785970800743587,1124.7058823529412,,
0.6195540608875727,309.41176470588243,0.1728318435121529,874.1176470588235,0.8524974121288698,856.4705882352941,0.8922674486302242,1078.8235294117646,0.5281682335805868,1124.7058823529412,,
0.6484570079997874,316.47058823529414,0.1651284035451041,874.1176470588235,0.796141199885089,863.5294117647059,0.9554281212853757,1075.2941176470588,0.4821346193585811,1128.235294117647,,
0.6195540608875727,320,0.1614064152153894,884.7058823529412,0.7781962056190486,877.6470588235295,0.8524974121288698,1085.8823529411766,0.44011316168748066,1131.764705882353,,
0.5785970800743587,320,0.15073628992941238,888.2352941176471,0.710370877170873,884.7058823529412,0.796141199885089,1089.4117647058824,0.40175417261727275,1131.764705882353,,
0.5162633404228456,323.52941176470597,0.14401769029678602,891.7647058823529,0.6787083125912109,891.7647058823529,0.7267518376864193,1096.4705882352941,0.36673844198734146,1131.764705882353,,
0.5162633404228456,334.11764705882354,0.12560585988318862,905.8823529411765,0.6338408101544686,905.8823529411765,0.663410251418744,1096.4705882352941,0.3126435727223819,1131.764705882353,,
0.46064497358040835,337.6470588235294,0.12277470827878699,909.4117647058824,0.6055893344398838,912.9411764705883,0.5655555225142421,1107.0588235294117,0.2853944640091902,1131.764705882353,,
0.6195540608875727,327.0588235294117,0.11465841675756225,916.4705882352941,0.5785970800743587,927.0588235294117,0.6195540608875727,1103.5294117647059,0.2605203087268267,1131.764705882353,,
0.4301930267113855,344.7058823529411,0.10954787571223328,920,0.5281682335805868,930.5882352941177,0.5281682335805868,1107.0588235294117,0.2432980420037404,1131.764705882353,,
0.41101851530092803,344.7058823529411,0.10466512108254278,927.0588235294117,0.5046267831325151,941.1764705882354,0.4821346193585811,1107.0588235294117,0.21708692319540646,1131.764705882353,,
0.383847234362281,351.7647058823529,0.0977460035646152,937.6470588235295,0.46064497358040835,955.2941176470588,0.4301930267113855,1110.5882352941176,0.19816625542394198,1131.764705882353,,
0.383847234362281,351.7647058823529,0.09338928054889384,937.6470588235295,0.4502620522961267,958.8235294117648,0.39269864788746967,1114.1176470588236,0.18089465828118548,1135.2941176470588,,
0.35847217057776065,355.2941176470588,0.08145000008709298,955.2941176470588,0.4301930267113855,976.4705882352941,0.35847217057776065,1117.6470588235295,0.15776832036995203,1135.2941176470588,,
0.3347745810705738,362.3529411764706,0.08721557721439992,948.2352941176471,0.40175417261727275,972.9411764705883,0.29870846131809276,1117.6470588235295,0.1344970848313025,1135.2941176470588,,
0.29870846131809276,358.82352941176464,0.07435105387260146,962.3529411764706,0.383847234362281,983.5294117647059,0.3347745810705738,1117.6470588235295,0.12560585988318862,1135.2941176470588,,
0.2919755832477898,369.41176470588243,0.06787083125912112,962.3529411764706,0.35847217057776065,994.1176470588235,0.2665278366645544,1121.1764705882354,0.11207402013097809,1135.2941176470588,,
0.2546481902546704,376.47058823529414,0.06195540608875724,962.3529411764706,0.3347745810705738,1001.1764705882354,0.2432980420037404,1124.7058823529412,0.10230597298425095,1135.2941176470588,,
0.2432980420037404,383.52941176470597,0.057859708007435895,972.9411764705883,0.29870846131809276,1008.2352941176471,0.21708692319540646,1124.7058823529412,0.09338928054889384,1135.2941176470588,,
0.21219379168489513,387.0588235294117,0.056555552251424175,972.9411764705883,0.2789616829636374,1022.3529411764706,0.19816625542394198,1124.7058823529412,0.08721557721439992,1135.2941176470588,,
0.20273591573791952,397.6470588235295,0.05162633404228453,976.4705882352941,0.35039222063109104,1001.1764705882354,0.16893621992017888,1128.235294117647,0.0796141199885089,1135.2941176470588,,
0.18506604023110243,411.7647058823529,0.04932525134287109,976.4705882352941,0.3198530490463567,1015.2941176470588,0.18506604023110243,1124.7058823529412,0.07267518376864192,1138.8235294117649,,
0.17681729913172578,411.7647058823529,0.04204964912240364,983.5294117647059,0.2605203087268267,1032.9411764705883,0.1614064152153894,1124.7058823529412,0.06634102514187443,1135.2941176470588,,
0.15776832036995203,422.3529411764706,0.0375195331382432,983.5294117647059,0.24890842912355782,1040,0.14401769029678602,1131.764705882353,0.059193937242853795,1135.2941176470588,,
0.1344970848313025,422.3529411764706,0.03584721705777606,987.0588235294118,0.22721429101683857,1050.5882352941176,0.1375985512721172,1128.235294117647,0.05528079211966483,1135.2941176470588,,
0.12560585988318862,429.4117647058823,0.03347745810705738,987.0588235294118,0.20741095118420963,1054.1176470588236,0.1473386993275719,1128.235294117647,0.052816823358058713,1135.2941176470588,,
0.1173024088721614,436.47058823529414,0.03055965977377594,990.5882352941177,0.1893336131218546,1057.6470588235295,0.12560585988318862,1124.7058823529412,0.04932525134287109,1135.2941176470588,,
0.10954787571223328,436.47058823529414,0.028539446400919037,990.5882352941177,0.17681729913172578,1061.1764705882354,0.11465841675756225,1124.7058823529412,0.04606449735804086,1131.764705882353,,
0.1000000000000001,436.47058823529414,0.025464819025467038,990.5882352941177,0.1651284035451041,1061.1764705882354,0.10466512108254278,1128.235294117647,0.04204964912240364,1135.2941176470588,,
0.09338928054889384,443.52941176470597,0.024890842912355795,994.1176470588235,0.15073628992941238,1068.235294117647,0.1000000000000001,1128.235294117647,0.03926986478874697,1135.2941176470588,,
0.08332821508477364,454.11764705882354,0.023245379118404387,994.1176470588235,0.14077153669117287,1071.764705882353,0.09338928054889384,1128.235294117647,0.0375195331382432,1135.2941176470588,,
0.07435105387260146,457.6470588235295,0.020273591573791952,997.6470588235295,0.128502297078731,1075.2941176470588,0.08145000008709298,1124.7058823529412,0.0350392220631091,1135.2941176470588,,
0.07267518376864192,468.2352941176471,0.019816625542394186,1001.1764705882354,0.12000737073062892,1075.2941176470588,0.09128428949429016,1128.235294117647,0.03198530490463567,1135.2941176470588,,
0.06787083125912112,475.2941176470588,0.01728318435121529,1004.7058823529412,0.10707867049863966,1082.3529411764707,0.07781962056190485,1128.235294117647,0.028539446400919037,1135.2941176470588,,
0.0710370877170873,478.82352941176475,0.015776832036995203,1011.7647058823529,0.10954787571223328,1071.764705882353,0.06943591429214291,1128.235294117647,0.02665278366645544,1135.2941176470588,,
0.09338928054889384,454.11764705882354,0.06484570079997878,969.4117647058824,0.0977460035646152,1085.8823529411766,0.06484570079997878,1128.235294117647,0.024890842912355795,1138.8235294117649,,
0.12277470827878699,443.52941176470597,0.1344970848313025,898.8235294117648,0.08922674486302243,1085.8823529411766,0.06055893344398841,1128.235294117647,0.022721429101683843,1138.8235294117649,,
0.18506604023110243,418.82352941176464,,,0.0796141199885089,1100,0.05162633404228453,1128.235294117647,0.021219379168489514,1138.8235294117649,,
0.16893621992017888,422.3529411764706,,,0.08145000008709298,1092.9411764705883,0.04606449735804086,1128.235294117647,0.019816625542394186,1138.8235294117649,,
0.1473386993275719,411.7647058823529,,,0.07781962056190485,1100,0.041101851530092805,1128.235294117647,0.018506604023110242,1138.8235294117649,,
0.14401769029678602,425.88235294117646,,,0.0710370877170873,1100,0.04017541726172731,1128.235294117647,0.1473386993275719,1131.764705882353,,
0.0633840810154469,485.8823529411766,,,0.0633840810154469,1103.5294117647059,0.05528079211966483,1128.235294117647,0.34249439246820024,1131.764705882353,,
0.06484570079997878,485.8823529411766,,,0.059193937242853795,1103.5294117647059,0.0375195331382432,1128.235294117647,1.3146552533350817,1096.4705882352941,,
0.057859708007435895,485.8823529411766,,,0.052816823358058713,1110.5882352941176,0.03424943924682002,1124.7058823529412,,,,
0.059193937242853795,503.52941176470586,,,0.04932525134287109,1110.5882352941176,0.03198530490463567,1124.7058823529412,,,,
0.06055893344398841,510.5882352941177,,,0.0375195331382432,1114.1176470588236,0.029870846131809275,1124.7058823529412,,,,
0.05162633404228453,549.4117647058823,,,0.03347745810705738,1114.1176470588236,0.027896168296363738,1124.7058823529412,,,,
0.041101851530092805,570.5882352941177,,,0.04204964912240364,1117.6470588235295,0.026052030872682683,1124.7058823529412,,,,
0.052816823358058713,496.47058823529414,,,0.04401131616874809,1117.6470588235295,0.023245379118404387,1124.7058823529412,,,,
1.000000000000001,270.58823529411757,,,0.03926986478874697,1117.6470588235295,0.022209288899663383,1124.7058823529412,,,,
1.120740201309781,270.58823529411757,,,0.03347745810705738,1117.6470588235295,0.019816625542394186,1128.235294117647,,,,
1.3449708483130247,263.52941176470586,,,0.03198530490463567,1117.6470588235295,0.018933361312185447,1124.7058823529412,,,,
1.507362899294123,267.0588235294117,,,0.029870846131809275,1117.6470588235295,0.7267518376864193,1085.8823529411766,,,,
,,,,0.027896168296363738,1117.6470588235295,0.07435105387260146,1121.1764705882354,,,,
,,,,0.02665278366645544,1117.6470588235295,0.017681729913172586,1124.7058823529412,,,,
,,,,0.024890842912355795,1110.5882352941176,,,,,,
,,,,0.02432980420037404,1110.5882352941176,,,,,,
,,,,0.022721429101683843,1110.5882352941176,,,,,,
,,,,0.022209288899663383,1110.5882352941176,,,,,,
,,,,0.020741095118420955,1114.1176470588236,,,,,,
,,,,0.019369959509055047,1114.1176470588236,,,,,,
,,,,0.018089465828118538,1110.5882352941176,,,,,,
,,,,0.04401131616874809,1103.5294117647059,,,,,,
,,,,0.22721429101683857,1036.4705882352941,,,,,,
,,,,0.29870846131809276,1022.3529411764706,,,,,,
,,,,0.9338928054889384,852.9411764705883,,,,,,
