	0.4156	0.5226	0.5396	0.4977	0.4338
	0.4060	0.5024	0.5195	0.4751	0.4119
	0.3967	0.4831	0.5004	0.4536	0.3905
	0.3873	0.4638	0.4814	0.4322	0.3691
	0.3780	0.4460	0.4632	0.4119	0.3481
	0.3683	0.4281	0.4455	0.3921	0.3272
	0.3587	0.4105	0.4281	0.3725	0.3055
	0.3494	0.3926	0.4108	0.3529	0.2846
	0.3396	0.3761	0.3939	0.3335	0.2631
	0.3302	0.3592	0.3772	0.3152	0.2416
	0.3205	0.3436	0.3604	0.2961	0.2192
	0.3106	0.3279	0.3435	0.2772	0.1983
	0.3010	0.3122	0.3261	0.2580	0.1766
	0.2905	0.2966	0.3093	0.2386	0.1551
	0.2808	0.2812	0.2922	0.2194	0.1351
	0.2704	0.2648	0.2748	0.1999	0.1161
	0.2601	0.2495	0.2580	0.1806	0.0981
	0.2497	0.2338	0.2407	0.1622	0.0812
	0.2393	0.2184	0.2232	0.1443	0.0666
	0.2287	0.2032	0.2054	0.1270	0.0531
	0.2186	0.1885	0.1883	0.1104	0.0410
	0.2081	0.1737	0.1711	0.0949	0.0313
	0.1978	0.1598	0.1546	0.0803	0.0231
	0.1874	0.1462	0.1382	0.0676	0.0164
	0.1769	0.1326	0.1224	0.0556	0.0114
	0.1663	0.1199	0.1078	0.0452	0.0075
	0.1559	0.1078	0.0939	0.0362	0.0049
	0.1455	0.0966	0.0810	0.0280	0.0030
	0.1354	0.0859	0.0688	0.0214	0.0017
	0.1250	0.0756	0.0575	0.0161	9.4474e-04
	0.1156	0.0662	0.0475	0.0117	4.8683e-04
	0.1063	0.0575	0.0387	0.0083	2.4816e-04
	0.0975	0.0491	0.0312	0.0057	1.2015e-04
	0.0891	0.0418	0.0246	0.0038	6.4034e-05
	0.0809	0.0352	0.0190	0.0025	3.7896e-05
	0.0730	0.0294	0.0145	0.0016	2.8474e-05
	0.0655	0.0243	0.0107	0.0010	2.4362e-05
	0.0584	0.0198	0.0078	6.1255e-04	2.3122e-05
	0.0519	0.0161	0.0056	3.7666e-04	2.2740e-05
	0.0455	0.0130	0.0039	1.5454e-04	2.2531e-05
	0.0347	0.0103	0.0027	1.0983e-04	2.2332e-05
	0.0302	0.0082	0.0018	8.5896e-05	2.2121e-05
	0.0259	0.0064	0.0012	7.2678e-05	2.1816e-05
	0.0221	0.0049	8.1244e-04	6.5501e-05	2.1695e-05
	0.0188	0.0037	5.5645e-04	6.2513e-05	2.1428e-05
	0.0158	0.0029	3.7983e-04	6.0684e-05	2.1218e-05
	0.0132	0.0017	2.7138e-04	6.0153e-05	2.1056e-05
	0.0109	0.0013	2.0117e-04	5.9747e-05	2.0798e-05
	0.0090	9.7241e-04	1.6179e-04	5.9581e-05	2.0667e-05
	0.0074	7.4160e-04	1.3628e-04	5.9541e-05	2.0625e-05
	0.0060	5.7656e-04	1.2073e-04	5.9509e-05	2.0476e-05
	0.0049	4.5218e-04	1.1154e-04	5.9791e-05	2.0344e-05
	0.0040	3.6857e-04	1.0613e-04	5.9120e-05	2.0241e-05
	0.0026	2.7071e-04	1.0241e-04	5.9066e-05	2.0214e-05
	0.0021	2.4068e-04	9.9925e-05	5.9180e-05	2.0138e-05
	0.0017	2.2098e-04	9.8168e-05	5.9050e-05	1.9966e-05
	0.0014	2.0286e-04	9.6843e-05	5.8883e-05	1.9944e-05
	0.0011	1.9342e-04	9.5527e-05	5.8878e-05	1.9933e-05
	9.4368e-04	1.8613e-04	9.4347e-05	5.9334e-05	1.9800e-05
	7.9730e-04	1.8042e-04	9.3167e-05	5.8913e-05	1.9887e-05
	6.8687e-04	1.7630e-04	9.2856e-05	5.8685e-05	1.9752e-05
	5.9913e-04	1.7337e-04	9.1542e-05	5.8867e-05	1.9670e-05
	5.3687e-04	1.7127e-04	9.0257e-05	5.8766e-05	1.9610e-05
	4.9093e-04	1.6924e-04	8.9543e-05	5.8715e-05	1.9566e-05
	4.5852e-04	1.6779e-04	8.8485e-05	5.8570e-05	1.9538e-05
	4.3446e-04	1.6613e-04	8.7740e-05	5.8585e-05	1.9516e-05
	4.1798e-04	1.6467e-04	8.6745e-05	5.8592e-05	1.9497e-05
	4.0546e-04	1.6350e-04	8.6028e-05	5.8513e-05	1.9461e-05
	3.9637e-04	1.6233e-04	8.5613e-05	5.8494e-05	1.9481e-05
	3.9090e-04	1.6119e-04	8.4955e-05	5.8389e-05	1.9418e-05
	3.8591e-04	1.6025e-04	8.4252e-05	5.8444e-05	1.9424e-05
	3.8257e-04	1.5966e-04	8.3579e-05	5.8289e-05	1.9407e-05
	3.7986e-04	1.5846e-04	8.2924e-05	5.8573e-05	1.9418e-05
