YEAR, MONTH, DTEMPC
1871, 02, -0.137
1871, 03, -0.069
1871, 04, -0.294
1871, 05, -0.298
1871, 06, -0.296
1871, 07, -0.177
1871, 08, -0.364
1871, 09, -0.371
1871, 10, -0.511
1871, 11, -0.145
1871, 12, -0.286
1872, 01, -0.286
1872, 02, -0.230
1872, 03, -0.369
1872, 04, -0.274
1872, 05, -0.235
1872, 06, -0.398
1872, 07, -0.277
1872, 08, -0.236
1872, 09, -0.347
1872, 10, -0.331
1872, 11, -0.022
1872, 12, -0.277
1873, 01, -0.081
1873, 02, -0.148
1873, 03, -0.195
1873, 04, -0.350
1873, 05, -0.276
1873, 06, -0.350
1873, 07, -0.224
1873, 08, -0.257
1873, 09, -0.447
1873, 10, -0.465
1873, 11, -0.444
1873, 12, -0.518
1874, 01, -0.364
1874, 02, -0.575
1874, 03, -0.451
1874, 04, -0.489
1874, 05, -0.553
1874, 06, -0.778
1874, 07, -0.213
1874, 08, -0.434
1874, 09, -0.425
1874, 10, -0.567
1874, 11, -0.433
1874, 12, -0.345
1875, 01, -0.225
1875, 02, -0.136
1875, 03, -0.311
1875, 04, -0.277
1875, 05, -0.221
1875, 06, -0.409
1875, 07, -0.419
1875, 08, -0.272
1875, 09, -0.197
1875, 10, -0.346
1875, 11, -0.219
1875, 12, -0.411
1876, 01, -0.282
1876, 02, -0.314
1876, 03, -0.276
1876, 04, -0.310
1876, 05, -0.405
1876, 06, -0.589
1876, 07, -0.460
1876, 08, -0.512
1876, 09, -0.656
1876, 10, -0.341
1876, 11, -0.475
1876, 12, -0.449
1877, 01, -0.356
1877, 02, 0.014
1877, 03, -0.086
1877, 04, -0.168
1877, 05, -0.541
1877, 06, -0.330
1877, 07, -0.236
1877, 08, -0.071
1877, 09, -0.069
1877, 10, 0.127
1877, 11, -0.089
1877, 12, -0.059
1878, 01, 0.236
1878, 02, 0.218
1878, 03, 0.129
1878, 04, 0.073
1878, 05, -0.223
1878, 06, -0.373
1878, 07, -0.190
1878, 08, -0.258
1878, 09, -0.213
1878, 10, -0.203
1878, 11, -0.282
1878, 12, -0.309
1879, 01, -0.239
1879, 02, -0.248
1879, 03, -0.146
1879, 04, -0.214
1879, 05, -0.373
1879, 06, -0.332
1879, 07, -0.273
1879, 08, -0.110
1879, 09, -0.204
1879, 10, -0.257
1879, 11, -0.168
1879, 12, -0.286
1880, 01, -0.264
1880, 02, -0.071
1880, 03, -0.002
1880, 04, -0.198
1880, 05, -0.327
1880, 06, -0.459
1880, 07, -0.317
1880, 08, -0.113
1880, 09, -0.227
1880, 10, -0.319
1880, 11, -0.173
1880, 12, -0.112
1881, 01, -0.197
1881, 02, -0.222
1881, 03, -0.059
1881, 04, -0.079
1881, 05, -0.082
1881, 06, -0.297
1881, 07, -0.187
1881, 08, -0.202
1881, 09, -0.266
1881, 10, -0.122
1881, 11, -0.115
1881, 12, -0.110
1882, 01, -0.098
1882, 02, -0.032
1882, 03, -0.046
1882, 04, -0.150
1882, 05, -0.294
1882, 06, -0.299
1882, 07, -0.144
1882, 08, -0.270
1882, 09, -0.132
1882, 10, -0.248
1882, 11, -0.149
1882, 12, -0.365
1883, 01, -0.070
1883, 02, -0.106
1883, 03, -0.053
1883, 04, -0.394
1883, 05, -0.219
1883, 06, -0.160
1883, 07, -0.253
1883, 08, -0.311
1883, 09, -0.257
1883, 10, -0.330
1883, 11, -0.190
1883, 12, -0.421
1884, 01, -0.353
1884, 02, -0.206
1884, 03, -0.382
1884, 04, -0.374
1884, 05, -0.448
1884, 06, -0.394
1884, 07, -0.419
1884, 08, -0.408
1884, 09, -0.197
1884, 10, -0.292
1884, 11, -0.297
1884, 12, -0.359
1885, 01, -0.311
1885, 02, -0.304
1885, 03, -0.445
1885, 04, -0.504
1885, 05, -0.586
1885, 06, -0.561
1885, 07, -0.428
1885, 08, -0.688
1885, 09, -0.382
1885, 10, -0.349
1885, 11, -0.146
1885, 12, -0.222
1886, 01, -0.414
1886, 02, -0.332
1886, 03, -0.353
1886, 04, -0.436
1886, 05, -0.195
1886, 06, -0.466
1886, 07, -0.419
1886, 08, -0.423
1886, 09, -0.487
1886, 10, -0.383
1886, 11, -0.333
1886, 12, -0.540
1887, 01, -0.493
1887, 02, -0.534
1887, 03, -0.510
1887, 04, -0.454
1887, 05, -0.470
1887, 06, -0.530
1887, 07, -0.408
1887, 08, -0.417
1887, 09, -0.431
1887, 10, -0.499
1887, 11, -0.473
1887, 12, -0.566
1888, 01, -0.577
1888, 02, -0.343
1888, 03, -0.435
1888, 04, -0.441
1888, 05, -0.426
1888, 06, -0.456
1888, 07, -0.454
1888, 08, -0.388
1888, 09, -0.278
1888, 10, -0.177
