YEAR, MONTH, DTEMPC
1871, 02, -0.962
1871, 03, 0.076
1871, 04, 0.022
1871, 05, -0.314
1871, 06, -0.151
1871, 07, 0.146
1871, 08, -0.079
1871, 09, -0.538
1871, 10, -0.451
1871, 11, -0.930
1871, 12, -0.843
1872, 01, -0.329
1872, 02, -0.582
1872, 03, -0.573
1872, 04, -0.017
1872, 05, 0.157
1872, 06, -0.010
1872, 07, 0.052
1872, 08, 0.187
1872, 09, 0.092
1872, 10, -0.125
1872, 11, -0.459
1872, 12, -0.576
1873, 01, 0.017
1873, 02, -0.544
1873, 03, -0.383
1873, 04, -0.694
1873, 05, -0.544
1873, 06, -0.170
1873, 07, -0.079
1873, 08, -0.062
1873, 09, -0.261
1873, 10, -0.338
1873, 11, -0.480
1873, 12, -0.025
1874, 01, 0.487
1874, 02, -0.305
1874, 03, -0.662
1874, 04, -0.509
1874, 05, -0.373
1874, 06, -0.135
1874, 07, -0.130
1874, 08, -0.295
1874, 09, 0.017
1874, 10, -0.298
1874, 11, -0.563
1874, 12, -0.467
1875, 01, -0.916
1875, 02, -1.066
1875, 03, -0.882
1875, 04, -0.650
1875, 05, -0.123
1875, 06, -0.058
1875, 07, -0.187
1875, 08, -0.093
1875, 09, -0.342
1875, 10, -0.376
1875, 11, -0.790
1875, 12, -0.603
1876, 01, -0.344
1876, 02, -0.253
1876, 03, -0.496
1876, 04, -0.283
1876, 05, -0.661
1876, 06, 0.023
1876, 07, 0.181
1876, 08, 0.013
1876, 09, -0.221
1876, 10, -0.435
1876, 11, -0.692
1876, 12, -0.982
1877, 01, -0.301
1877, 02, 0.083
1877, 03, -0.473
1877, 04, -0.474
1877, 05, -0.365
1877, 06, 0.144
1877, 07, 0.257
1877, 08, 0.365
1877, 09, 0.125
1877, 10, 0.000
1877, 11, 0.284
1877, 12, 0.402
1878, 01, 0.108
1878, 02, 0.585
1878, 03, 0.561
1878, 04, 0.576
1878, 05, 0.053
1878, 06, 0.414
1878, 07, 0.084
1878, 08, 0.214
1878, 09, 0.241
1878, 10, -0.037
1878, 11, -0.121
1878, 12, -0.406
1879, 01, -0.157
1879, 02, -0.055
1879, 03, -0.041
1879, 04, -0.206
1879, 05, -0.049
1879, 06, -0.209
1879, 07, -0.194
1879, 08, -0.220
1879, 09, -0.231
1879, 10, 0.018
1879, 11, -0.611
1879, 12, -0.744
1880, 01, 0.128
1880, 02, -0.277
1880, 03, -0.201
1880, 04, -0.098
1880, 05, -0.161
1880, 06, -0.155
1880, 07, -0.177
1880, 08, -0.122
1880, 09, -0.244
1880, 10, -0.449
1880, 11, -0.640
1880, 12, -0.475
1881, 01, -0.514
1881, 02, -0.248
1881, 03, -0.297
1881, 04, -0.178
1881, 05, 0.025
1881, 06, -0.164
1881, 07, -0.107
1881, 08, -0.044
1881, 09, -0.215
1881, 10, -0.427
1881, 11, -0.551
1881, 12, -0.153
1882, 01, 0.349
1882, 02, 0.015
1882, 03, -0.048
1882, 04, -0.410
1882, 05, -0.449
1882, 06, -0.343
1882, 07, -0.227
1882, 08, -0.166
1882, 09, -0.181
1882, 10, -0.413
1882, 11, -0.468
1882, 12, -0.575
1883, 01, -0.732
1883, 02, -0.533
1883, 03, -0.633
1883, 04, -0.394
1883, 05, -0.286
1883, 06, -0.087
1883, 07, -0.149
1883, 08, -0.111
1883, 09, -0.305
1883, 10, -0.430
1883, 11, -0.432
1883, 12, -0.228
1884, 01, -0.456
1884, 02, -0.227
1884, 03, -0.535
1884, 04, -0.672
1884, 05, -0.345
1884, 06, -0.430
1884, 07, -0.432
1884, 08, -0.417
1884, 09, -0.500
1884, 10, -0.375
1884, 11, -0.834
1884, 12, -0.471
1885, 01, -0.700
1885, 02, -0.522
1885, 03, -0.513
1885, 04, -0.431
1885, 05, -0.445
1885, 06, -0.413
1885, 07, -0.211
1885, 08, -0.325
1885, 09, -0.277
1885, 10, -0.138
1885, 11, -0.378
1885, 12, -0.088
1886, 01, -0.385
1886, 02, -0.607
1886, 03, -0.464
1886, 04, -0.236
1886, 05, -0.178
1886, 06, -0.297
1886, 07, -0.147
1886, 08, -0.244
1886, 09, -0.375
1886, 10, -0.337
1886, 11, -0.515
1886, 12, -0.300
1887, 01, -0.647
1887, 02, -0.581
1887, 03, -0.403
1887, 04, -0.415
1887, 05, -0.234
1887, 06, -0.279
1887, 07, -0.148
1887, 08, -0.310
1887, 09, -0.242
1887, 10, -0.496
1887, 11, -0.332
1887, 12, -0.226
1888, 01, -0.610
1888, 02, -0.539
1888, 03, -0.633
1888, 04, -0.039
1888, 05, -0.259
1888, 06, -0.132
1888, 07, -0.158
1888, 08, -0.171
1888, 09, -0.160
1888, 10, -0.010
1888, 11, -0.276
1888, 12, -0.224
1889, 01, -0.118
1889, 02, -0.136
1889, 03, -0.118
1889, 04, 0.150
1889, 05, 0.041
1889, 06, 0.001
1889, 07, -0.132
1889, 08, -0.110
1889, 09, -0.339
1889, 10, -0.232
1889, 11, -0.562
1889, 12, -0.130
1890, 01, -0.313
1890, 02, -0.274
1890, 03, -0.392
1890, 04, -0.198
1890, 05, -0.350
1890, 06, -0.262
1890, 07, -0.294
1890, 08, -0.345
1890, 09, -0.399
1890, 10, -0.414
1890, 11, -0.621
1890, 12, -0.490
1891, 01, -0.611
1891, 02, -0.570
1891, 03, -0.396
1891, 04, -0.388
1891, 05, -0.200
1891, 06, -0.169
1891, 07, -0.141
1891, 08, -0.137
1891, 09, 0.006
1891, 10, -0.275
1891, 11, -0.729
1891, 12, 0.136
1892, 01, -0.452
1892, 02, -0.074
1892, 03, -0.674
1892, 04, -0.499
1892, 05, -0.387
1892, 06, -0.308
1892, 07, -0.436
1892, 08, -0.344
1892, 09, -0.160
1892, 10, -0.385
1892, 11, -0.889
1892, 12, -0.998
1893, 01, -1.533
1893, 02, -1.122
1893, 03, -0.567
1893, 04, -0.556
1893, 05, -0.622
1893, 06, -0.290
1893, 07, -0.130
1893, 08, -0.240
1893, 09, -0.397
1893, 10, -0.208
1893, 11, -0.493
1893, 12, -0.375
1894, 01, -0.639
1894, 02, -0.432
1894, 03, -0.349
1894, 04, -0.293
1894, 05, -0.270
1894, 06, -0.455
1894, 07, -0.162
1894, 08, -0.221
1894, 09, -0.340
1894, 10, -0.403
1894, 11, -0.501
1894, 12, -0.438
1895, 01, -0.669
1895, 02, -0.969
1895, 03, -0.647
1895, 04, -0.317
1895, 05, -0.277
1895, 06, -0.267
1895, 07, -0.250
1895, 08, -0.273
1895, 09, -0.031
1895, 10, -0.164
1895, 11, -0.258
1895, 12, -0.291
1896, 01, -0.269
1896, 02, -0.256
1896, 03, -0.561
1896, 04, -0.424
1896, 05, -0.041
1896, 06, 0.096
1896, 07, 0.030
1896, 08, 0.035
1896, 09, 0.067
1896, 10, 0.032
1896, 11, -0.509
1896, 12, -0.002
1897, 01, -0.251
1897, 02, -0.173
1897, 03, -0.479
1897, 04, -0.025
1897, 05, 0.136
1897, 06, -0.047
1897, 07, 0.068
1897, 08, 0.012
1897, 09, 0.082
1897, 10, -0.076
1897, 11, -0.459
1897, 12, -0.496
1898, 01, 0.140
